Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Lajas,Puerto Rico,US,1/2/2021 5:22,18.011661,-67.040585,160,0,0,160,"Lajas, Puerto Rico, US",726.942299,0
Lares,Puerto Rico,US,1/2/2021 5:22,18.269035,-66.867236,406,0,0,406,"Lares, Puerto Rico, US",1672.433679,0
Las Marias,Puerto Rico,US,1/2/2021 5:22,18.23679,-66.98362,106,0,0,106,"Las Marias, Puerto Rico, US",1337.201968,0
Las Piedras,Puerto Rico,US,1/2/2021 5:22,18.187527,-65.869468,785,0,0,785,"Las Piedras, Puerto Rico, US",2121.22031,0
Loiza,Puerto Rico,US,1/2/2021 5:22,18.425688,-65.89943,603,0,0,603,"Loiza, Puerto Rico, US",2455.911701,0
Luquillo,Puerto Rico,US,1/2/2021 5:22,18.342114,-65.725097,329,0,0,329,"Luquillo, Puerto Rico, US",1862.439853,0
Manati,Puerto Rico,US,1/2/2021 5:22,18.420473,-66.490461,871,0,0,871,"Manati, Puerto Rico, US",2335.934776,0
Maricao,Puerto Rico,US,1/2/2021 5:22,18.171795,-66.942126,53,0,0,53,"Maricao, Puerto Rico, US",976.0589319,0
Maunabo,Puerto Rico,US,1/2/2021 5:22,18.017889,-65.922235,167,0,0,167,"Maunabo, Puerto Rico, US",1618.060265,0
Mayaguez,Puerto Rico,US,1/2/2021 5:22,18.2013,-67.1452,995,0,0,995,"Mayaguez, Puerto Rico, US",1391.024745,0
Moca,Puerto Rico,US,1/2/2021 5:22,18.377805,-67.080952,838,0,0,838,"Moca, Puerto Rico, US",2401.765498,0
Morovis,Puerto Rico,US,1/2/2021 5:22,18.316963,-66.420383,820,0,0,820,"Morovis, Puerto Rico, US",2703.148179,0
Naguabo,Puerto Rico,US,1/2/2021 5:22,18.230637,-65.753897,492,0,0,492,"Naguabo, Puerto Rico, US",1909.863748,0
Naranjito,Puerto Rico,US,1/2/2021 5:22,18.288019,-66.252703,842,0,0,842,"Naranjito, Puerto Rico, US",3078.723171,0
Orocovis,Puerto Rico,US,1/2/2021 5:22,18.215046,-66.433604,454,0,0,454,"Orocovis, Puerto Rico, US",2245.301682,0
Patillas,Puerto Rico,US,1/2/2021 5:22,18.03174,-66.012242,172,0,0,172,"Patillas, Puerto Rico, US",1061.007958,0
Penuelas,Puerto Rico,US,1/2/2021 5:22,18.059645,-66.721572,297,0,0,297,"Penuelas, Puerto Rico, US",1542.937295,0
Ponce,Puerto Rico,US,1/2/2021 5:22,18.059498,-66.613748,1542,0,0,1542,"Ponce, Puerto Rico, US",1169.235902,0
Quebradillas,Puerto Rico,US,1/2/2021 5:22,18.439692,-66.926113,458,0,0,458,"Quebradillas, Puerto Rico, US",1998.429182,0
Rincon,Puerto Rico,US,1/2/2021 5:22,18.335443,-67.23174,212,0,0,212,"Rincon, Puerto Rico, US",1552.431166,0
Rio Grande,Puerto Rico,US,1/2/2021 5:22,18.346329,-65.813742,975,0,0,975,"Rio Grande, Puerto Rico, US",2030.192608,0
Sabana Grande,Puerto Rico,US,1/2/2021 5:22,18.08282,-66.943758,173,0,0,173,"Sabana Grande, Puerto Rico, US",796.7943994,0
Salinas,Puerto Rico,US,1/2/2021 5:22,18.010387,-66.256592,439,0,0,439,"Salinas, Puerto Rico, US",1618.254202,0
San German,Puerto Rico,US,1/2/2021 5:22,18.111484,-67.038581,286,0,0,286,"San German, Puerto Rico, US",946.1739504,0
San Juan,Puerto Rico,US,1/2/2021 5:22,18.386933,-66.061128,11063,0,0,11063,"San Juan, Puerto Rico, US",3474.112944,0
San Lorenzo,Puerto Rico,US,1/2/2021 5:22,18.147987,-65.976392,944,0,0,944,"San Lorenzo, Puerto Rico, US",2623.023702,0
San Sebastian,Puerto Rico,US,1/2/2021 5:22,18.328646,-66.971214,808,0,0,808,"San Sebastian, Puerto Rico, US",2274.262553,0
Santa Isabel,Puerto Rico,US,1/2/2021 5:22,17.994525,-66.388913,233,0,0,233,"Santa Isabel, Puerto Rico, US",1098.590221,0
Toa Alta,Puerto Rico,US,1/2/2021 5:22,18.362406,-66.246616,2194,0,0,2194,"Toa Alta, Puerto Rico, US",3046.164526,0
Toa Baja,Puerto Rico,US,1/2/2021 5:22,18.431446,-66.213553,2224,0,0,2224,"Toa Baja, Puerto Rico, US",2994.439283,0
Trujillo Alto,Puerto Rico,US,1/2/2021 5:22,18.336159,-65.998884,1747,0,0,1747,"Trujillo Alto, Puerto Rico, US",2743.663034,0
Utuado,Puerto Rico,US,1/2/2021 5:22,18.271214,-66.702984,545,0,0,545,"Utuado, Puerto Rico, US",1989.414127,0
Vega Alta,Puerto Rico,US,1/2/2021 5:22,18.409346,-66.33725,1048,0,0,1048,"Vega Alta, Puerto Rico, US",2906.186739,0
Vega Baja,Puerto Rico,US,1/2/2021 5:22,18.428262,-66.397924,1709,0,0,1709,"Vega Baja, Puerto Rico, US",3416.428443,0
Vieques,Puerto Rico,US,1/2/2021 5:22,18.123276,-65.440971,96,0,0,96,"Vieques, Puerto Rico, US",1144.765085,0
Villalba,Puerto Rico,US,1/2/2021 5:22,18.127951,-66.473115,456,0,0,456,"Villalba, Puerto Rico, US",2133.632791,0
Yabucoa,Puerto Rico,US,1/2/2021 5:22,18.070399,-65.896289,467,0,0,467,"Yabucoa, Puerto Rico, US",1446.626603,0
Yauco,Puerto Rico,US,1/2/2021 5:22,18.080374,-66.858814,459,0,0,459,"Yauco, Puerto Rico, US",1367.088608,0
Out of PR,Puerto Rico,US,1/2/2021 5:22,,,205,0,0,205,"Out of PR, Puerto Rico, US",,0
Unassigned,Puerto Rico,US,1/2/2021 5:22,,,2377,1521,0,856,"Unassigned, Puerto Rico, US",,63.98822045
Out of AL,Alabama,US,12/21/2020 13:27,,,0,0,0,0,"Out of AL, Alabama, US",,
Out of AZ,Arizona,US,1/2/2021 5:22,,,0,0,0,0,"Out of AZ, Arizona, US",,
Out of CO,Colorado,US,1/2/2021 5:22,,,0,0,0,0,"Out of CO, Colorado, US",,
Out of GA,Georgia,US,1/2/2021 5:22,,,24826,348,0,24478,"Out of GA, Georgia, US",,1.401756223
Out of HI,Hawaii,US,12/21/2020 13:27,,,661,2,0,659,"Out of HI, Hawaii, US",,0.302571861
